trait	facility	Clade	pb2	pb2_colour	pb1	pb1_colour	pa	pa_colour	ha	ha_colour	np	np_colour	na	na_colour	m	m_colour	ns	ns_colour
A/Kilifi/CHA/057/2016_23-Nov-2016	Chasimba	3C.2A1b	3C.2A1b	00FFFF	3C.2A1b	00FFFF	3C.2A1b	00FFFF	3C.2A1b	00FFFF	3C.2A1b	00FFFF	3C.2A1b	00FFFF	3C.2A1b	00FFFF	3C.2A1b	00FFFF
A/Kilifi/CHA/056/2016_21-Jun-2016	Chasimba	3C.2A1b	3C.2A1b	00FFFF	3C.2A1b	00FFFF	3C.2A1b	00FFFF	3C.2A1b	00FFFF	3C.2A1b	00FFFF	3C.2A1b	00FFFF	3C.2A1b	00FFFF	3C.2A1b	00FFFF
A/Kilifi/CHA/055/2016_16-Nov-2016	Chasimba	3C.2A1b	3C.2A1b	00FFFF	3C.2A1b	00FFFF	3C.2A1b	00FFFF	3C.2A1b	00FFFF	3C.2A1b	00FFFF	3C.2A1b	00FFFF	3C.2A1b	00FFFF	3C.2A1b	00FFFF
A/Kilifi/CHA/054/2015_15-Dec-2015	Chasimba	3C.2A	3C.2A	FF0000	3C.2A	FF0000	3C.2A	FF0000	3C.2A	FF0000	3C.2A	FF0000	3C.2A	FF0000	3C.2A	FF0000	3C.2A	FF0000
A/Kilifi/CHA/053/2015_15-Dec-2015	Chasimba	3C.2A	3C.2A	FF0000	3C.2A	FF0000	3C.2A	FF0000	3C.2A	FF0000	3C.2A	FF0000	3C.2A	FF0000	3C.2A	FF0000	3C.2A	FF0000
A/Kilifi/CHA/052/2015_15-Dec-2015	Chasimba	3C.2A	3C.2A	FF0000	3C.2A	FF0000	3C.2A	FF0000	3C.2A	FF0000	3C.2A	FF0000	3C.2A	FF0000	3C.2A	FF0000	3C.2A	FF0000
A/Kilifi/CHA/051/2015_15-Dec-2015	Chasimba	3C.2A	3C.2A	FF0000	3C.2A	FF0000	3C.2A	FF0000	3C.2A	FF0000	3C.2A	FF0000	3C.2A	FF0000	3C.2A	FF0000	3C.2A	FF0000
A/Kilifi/JAR/062/2016_20-Jan-2016	Jaribuni	3C.2A	3C.2A	FF0000	3C.2A	FF0000	3C.2A	FF0000	3C.2A	FF0000	3C.2A	FF0000	3C.2A	FF0000	3C.2A	FF0000	3C.2A	FF0000
A/Kilifi/JAR/061/2015_21-Dec-2015	Jaribuni	3C.2A	3C.2A	FF0000	3C.2A	FF0000	3C.2A	FF0000	3C.2A	FF0000	3C.2A	FF0000	3C.2A	FF0000	3C.2A	FF0000	3C.2A	FF0000
A/Kilifi/JAR/060/2015_18-Dec-2015	Jaribuni	3C.2A	3C.2A	FF0000	3C.2A	FF0000	3C.2A	FF0000	3C.2A	FF0000	3C.2A	FF0000	3C.2A	FF0000	3C.2A	FF0000	3C.2A	FF0000
A/Kilifi/JAR/059/2015_14-Dec-2015	Jaribuni	3C.2A	3C.2A	FF0000	3C.2A	FF0000	3C.2A	FF0000	3C.2A	FF0000	3C.2A	FF0000	3C.2A	FF0000	3C.2A	FF0000	3C.2A	FF0000
A/Kilifi/JUN/072/2016_04-Feb-2016	Junju	3C.2A	3C.2A	FF0000	3C.2A	FF0000	3C.2A	FF0000	3C.2A	FF0000	3C.2A	FF0000	3C.2A	FF0000	3C.2A	FF0000	3C.2A	FF0000
A/Kilifi/JUN/071/2016_04-Feb-2016	Junju	3C.2A	3C.2A	FF0000	3C.2A	FF0000	3C.2A	FF0000	3C.2A	FF0000	3C.2A	FF0000	3C.2A	FF0000	3C.2A	FF0000	3C.2A	FF0000
A/Kilifi/JUN/070/2016_27-Jan-2016	Junju	3C.2A	3C.2A	FF0000	3C.2A	FF0000	3C.2A	FF0000	3C.2A	FF0000	3C.2A	FF0000	3C.2A	FF0000	3C.2A	FF0000	3C.2A	FF0000
A/Kilifi/JUN/069/2016_18-Jan-2016	Junju	3C.2A	3C.2A	FF0000	3C.2A	FF0000	3C.2A	FF0000	3C.2A	FF0000	3C.2A	FF0000	3C.2A	FF0000	3C.2A	FF0000	3C.2A	FF0000
A/Kilifi/JUN/068/2015_15-Dec-2015	Junju	3C.2A	3C.2A	FF0000	3C.2A	FF0000	3C.2A	FF0000	3C.2A	FF0000	3C.2A	FF0000	3C.2A	FF0000	3C.2A	FF0000	3C.2A	FF0000
