strain	accession	continent	country
A/Anjeva/1747/2016	EPI_ISL_233001	Africa	 Madagascar
A/Antananarivo/1067/2016	EPI_ISL_281573	Africa	 Madagascar
A/Antananarivo/1073/2016	EPI_ISL_230304	Africa	 Madagascar
A/Antananarivo/1158/2016	EPI_ISL_230305	Africa	 Madagascar
A/Antananarivo/1743/2016	EPI_ISL_232984	Africa	 Madagascar
A/Antananarivo/1951/2016	EPI_ISL_230307	Africa	 Madagascar
A/Antananarivo/1987/2016	EPI_ISL_230308	Africa	 Madagascar
A/Antsirabe/3541/2016	EPI_ISL_239160	Africa	 Madagascar
A/Antsirabe/3821/2016	EPI_ISL_239161	Africa	 Madagascar
A/Antsirabe/3857/2015	EPI_ISL_206244	Africa	 Madagascar
A/Burkina Faso/138/2015	EPI_ISL_220282	Africa	 Burkina Faso
A/Burkina Faso/1630/2015	EPI_ISL_215614	Africa	 Burkina Faso
A/Burkina Faso/1632/2015	EPI_ISL_215615	Africa	 Burkina Faso
A/Burkina Faso/1633/2015	EPI_ISL_215616	Africa	 Burkina Faso
A/Burkina Faso/611/2015	EPI_ISL_215617	Africa	 Burkina Faso
A/Burkina Faso/613/2015	EPI_ISL_215618	Africa	 Burkina Faso
A/Burkina Faso/620/2015	EPI_ISL_215770	Africa	 Burkina Faso
A/Burkina Faso/640/2015	EPI_ISL_220283	Africa	 Burkina Faso
A/Burkina Faso/76/2015	EPI_ISL_213975	Africa	 Burkina Faso
A/Burkina Faso/87/2015	EPI_ISL_213976	Africa	 Burkina Faso
A/Burkina Faso/92/2015	EPI_ISL_215619	Africa	 Burkina Faso
A/Congo/0560/2016	EPI_ISL_235088	Africa	Congo
A/Congo/0938/2016	EPI_ISL_235089	Africa	Congo
A/Congo/0939/2016	EPI_ISL_235090	Africa	Congo
A/Congo/0941/2016	EPI_ISL_235091	Africa	Congo
A/Congo/0947/2016	EPI_ISL_235092	Africa	Congo
A/Congo/1137/2016	EPI_ISL_235093	Africa	Congo
A/Congo/2458/2014	EPI_ISL_175211	Africa	Congo
A/Congo/2461/2014	EPI_ISL_175217	Africa	Congo
A/Congo/2471/2014	EPI_ISL_175210	Africa	Congo
A/Congo/2495/2014	EPI_ISL_189842	Africa	Congo
A/Congo/2526/2014	EPI_ISL_191693	Africa	Congo
A/Congo/2538/2014	EPI_ISL_176513	Africa	Congo
A/Congo/2544/2014	EPI_ISL_176515	Africa	Congo
A/Congo/2557/2014	EPI_ISL_176548	Africa	Congo
A/Congo/2586/2014	EPI_ISL_191708	Africa	Congo
A/Congo/2588/2014	EPI_ISL_191672	Africa	Congo
A/Congo/2603/2014	EPI_ISL_191694	Africa	Congo
A/Congo/2611/2014	EPI_ISL_176547	Africa	Congo
A/Cote D'Ivoire/1613/2015	EPI_ISL_215628	Africa	 Cote d'Ivoire
A/Cote D'Ivoire/1616/2015	EPI_ISL_215629	Africa	 Cote d'Ivoire
A/Cote D'Ivoire/1617/2015	EPI_ISL_215630	Africa	 Cote d'Ivoire
A/Cote D'Ivoire/1638/2015	EPI_ISL_215631	Africa	 Cote d'Ivoire
A/Cote D'Ivoire/1672/2015	EPI_ISL_213977	Africa	 Cote d'Ivoire
A/Cote D'Ivoire/1916/2015	EPI_ISL_213978	Africa	 Cote d'Ivoire
A/Cote D'Ivoire/1918/2015	EPI_ISL_215632	Africa	 Cote d'Ivoire
A/Cote D'Ivoire/1998/2015	EPI_ISL_215633	Africa	 Cote d'Ivoire
A/Cote D'Ivoire/2045/2015	EPI_ISL_213979	Africa	 Cote d'Ivoire
A/Cote D'Ivoire/2064/2015	EPI_ISL_215634	Africa	 Cote d'Ivoire
A/Cote D'Ivoire/2109/2015	EPI_ISL_215635	Africa	 Cote d'Ivoire
A/Cote D'Ivoire/2110/2015	EPI_ISL_215636	Africa	 Cote d'Ivoire
A/Ethiopia/1140/2014	EPI_ISL_172733	Africa	 Ethiopia
A/Ethiopia/1141/2014	EPI_ISL_171352	Africa	 Ethiopia
A/Ethiopia/1146/2014	EPI_ISL_172532	Africa	 Ethiopia
A/Ethiopia/1147/2014	EPI_ISL_172592	Africa	 Ethiopia
A/Ethiopia/1153/2014	EPI_ISL_171380	Africa	 Ethiopia
A/Ethiopia/1159/2014	EPI_ISL_172808	Africa	 Ethiopia
A/Ethiopia/155/2014	EPI_ISL_172531	Africa	 Ethiopia
A/Ethiopia/159/2014	EPI_ISL_172779	Africa	 Ethiopia
A/Ethiopia/1797/2016	EPI_ISL_215779	Africa	 Ethiopia
A/Ethiopia/1978/2016	EPI_ISL_230375	Africa	 Ethiopia
A/Ethiopia/546/2014	EPI_ISL_171378	Africa	 Ethiopia
A/Kenya/114/2016	EPI_ISL_249955	Africa	 Kenya
A/Kenya/122/2014	EPI_ISL_171394	Africa	 Kenya
A/Kenya/123/2014	EPI_ISL_171381	Africa	 Kenya
